asset_id,priority,asset_type,display_name,ticker_or_person,category,main_subject,support_1,support_2,beginner_message,avoid_misunderstanding,composition,source_policy,output_filename,prompt_id,status
concept_consumer_ads_retail,C,concept,消費から広告・小売テックへ,,消費,家庭の買い物かごから店舗、広告画面、決済へつながる道,消費者,広告と小売企業,消費行動が広告・EC・決済企業へ波及する,一つの消費指標だけで全企業を説明しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_consumer_ads_retail.png,prompt_concept_consumer_ads_retail,未生成
concept_reason_unknown,C,concept,理由不明,,不確実性,複数の足跡が霧の中へ入り、どれが主因か決められない構図,確認できた値動き,霧の中の複数候補,明確な理由がないこと自体を正しく示す,無理に一つの犯人やニュースを描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_reason_unknown.png,prompt_concept_reason_unknown,未生成
concept_headline_real_issue,C,concept,見出しと本当の論点,,編集,大きく目立つ表紙の箱を開けると、中に別の小さな重要部品がある構図,目立つ見出し,本当の評価軸,表面的なニュースより市場が見ていた論点を探す,秘密や陰謀のように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_headline_real_issue.png,prompt_concept_headline_real_issue,未生成
background_scene_conclusion,A,background,結論カード背景,,Scene 1,中央から右側に大きな空きがある朝のカフェ風背景,控えめなNASDAQ都市のシルエット,柔らかな朝日,昨夜の結論と指数カードを重ねやすい背景,主役企業や株価方向を背景だけで断定しない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_conclusion.png,prompt_background_scene_conclusion,未生成
background_scene_contradiction,A,background,矛盾カード背景,,Scene 2,左右に異なる結果を置ける二分割の絵本背景,左は明るい成果,右は戸惑いを表す余白,良い材料と逆反応を比較しやすい背景,驚きや暴落を過剰に演出しない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_contradiction.png,prompt_background_scene_contradiction,未生成
background_scene_expected_gap,A,background,Expected / Actual / Gap背景,,Scene 4,三つの空のカードを並べられる静かな分析机,中央の比較スペース,控えめな虫眼鏡,期待・実際・差の文字と数字を後から重ねる背景,画像内に文字や数字を生成しない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_expected_gap.png,prompt_background_scene_expected_gap,未生成
background_scene_causal_chain,A,background,因果図背景,,Scene 5,左から右へ複数の要素をつなげられる長い一本道,世界地図の淡い輪郭,テック都市の淡い輪郭,世界からNASDAQまでの矢印を後から重ねる背景,地図や国境を主役にせず、文字を入れない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_causal_chain.png,prompt_background_scene_causal_chain,未生成
background_scene_comparison,A,background,銘柄比較背景,,Scene 7,三つの企業カードを横並びに置ける落ち着いた棚,均等な三つの空き,薄い回路模様,最大三銘柄を公平に比較できる背景,勝者と敗者の色分けを背景で決めない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_comparison.png,prompt_background_scene_comparison,未生成
background_scene_verification,A,background,検証ポイント背景,,Scene 8,三つの観測窓を置ける朝の展望台風背景,望遠鏡の控えめなシルエット,夜明け前の空,今夜見る二〜三点を整理する背景,未来の株価方向や予言の雰囲気にしない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_verification.png,prompt_background_scene_verification,未生成
background_scene_timeline,B,background,タイムライン背景,,Scene 6,横長の一本の時間軸を置けるシンプルな机上背景,発表を置く左側の空き,終値を置く右側の空き,発表時刻と反応順序を重ねる背景,実データのないチャート線を背景に描かない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_timeline.png,prompt_background_scene_timeline,未生成
background_scene_news,B,background,ニュース映像枠背景,,Scene 3,公式発表画像や人物写真を置ける中立的なニュース枠,資料カードの空き,人物画像の空き,一次情報・人物・数字を整理して見せる背景,ニュース見出しや架空の媒体名を生成しない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_news.png,prompt_background_scene_news,未生成
background_scene_semiconductor,B,background,半導体解説背景,,半導体回,ウェハー、装置、メモリ、サーバーの小さなモチーフが周囲にある広い背景,中央の大きな空き,淡い青の回路,半導体供給網図を重ねやすい背景,特定企業のロゴや製品名を描かない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_semiconductor.png,prompt_background_scene_semiconductor,未生成
background_scene_fed,B,background,金融政策背景,,Fed・金利回,中央銀行会見を連想する落ち着いた背景,金利カード用の空き,債券カード用の空き,政策発言と金利反応を見せる背景,利上げ・利下げ方向を背景だけで示さない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_fed.png,prompt_background_scene_fed,未生成
background_scene_cyber,C,background,サイバーセキュリティ背景,,セキュリティ回,安全なネットワークと防御層を薄く描いた背景,企業端末用の空き,クラウド用の空き,サイバー企業比較や障害経路を重ねる背景,ハッカーや恐怖演出を主役にしない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_cyber.png,prompt_background_scene_cyber,未生成
background_scene_energy,C,background,電力・原油背景,,エネルギー回,発電、送電、データセンター、原油物流を薄く配置した背景,因果矢印用の空き,数字カード用の空き,電力・原油からテックへの経路を重ねる背景,環境破壊や地政学を断定的に描かない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_energy.png,prompt_background_scene_energy,未生成
background_scene_crypto,C,background,暗号資産背景,,暗号資産回,デジタル資産ネットワークを落ち着いて描いた背景,COINカード用の空き,MSTRカード用の空き,暗号資産と関連企業の違いを比較する背景,コイン価格上昇や投機を煽る演出にしない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_crypto.png,prompt_background_scene_crypto,未生成
background_scene_ending,C,background,エンディング背景,,Scene 9,海外の小さな夜カフェと日本の朝を窓越しにつなぐ穏やかな背景,冷めたコーヒー,夜明けの街,いってらっしゃいとおやすみをつなぐ固定背景,新しい市場情報や株価表示を入れない,16:9全画面。中央から右側にテロップ・数字・図を重ねる広い余白を確保し、背景の主張は弱くする,AI生成・日付中立,background_scene_ending.png,prompt_background_scene_ending,未生成
